name	ingredient	rxcui
e45	wool fat, anhydrous, white soft paraffin bp, liquid paraffin ph. eur	1363703
earcalm	acetic acid, glacial ph. eur.	168
easofen	ibuprofen	5640
easofen for children six plus strawberry	ibuprofen	5640
easofen for children strawberrry	ibuprofen	5640
easofen for children strawberry	ibuprofen	5640
easofen max strength	ibuprofen	5640
easyangin	chlorhexidine dihydrochloride, lidocaine hydrochloride monohydrate	107603
easyangin	chlorhexidine gluconate, lidocaine hydrochloride	107603
easyangin lemon	chlorhexidine dihydrochloride, lidocaine hydrochloride monohydrate	107603
easybronchial stop forte	dextromethorphan hydrobromide	102490
easybronchial stop junior	dextromethorphan hydrobromide	102490
easyhaler beclometasone	beclometasone dipropionate	1348
easyhaler salbutamol sulfate	salbutamol	435
easymuc	acetylcysteine	197
easynasan	xylometazoline hydrochloride	54220
easynasan junior	xylometazoline hydrochloride	54220
easystop	racecadotril	16738
eatan n	nitrazepam	7440
eau oxygenee	hydrogen peroxide	5499
ebastel	ebastine	23796
ebastel flas	ebastine	23796
ebastel forte	ebastine	23796
ebastel forte flas	ebastine	23796
ebastin abece	ebastine	23796
ebastin apofri	ebastine	23796
ebastin aristo	ebastine	23796
ebastin brown	ebastine	23796
ebastin lindopharm	ebastine	23796
ebastin medreich	ebastine	23796
ebastin micro labs	ebastine	23796
ebastin orifarm	ebastine	23796
ebastin orion	ebastine	23796
ebastina alprofarma	ebastine	23796
ebastina alter	ebastine	23796
ebastina apotex	ebastine	23796
ebastina aristo	ebastine	23796
ebastina aurobindo	ebastine	23796
ebastina aurovitas	ebastine	23796
ebastina cinfa	ebastine	23796
ebastina combix	ebastine	23796
ebastina doc	ebastine	23796
ebastina eg	ebastine	23796
ebastina flas stadagen	ebastine	23796
ebastina forte flas stadagen	ebastine	23796
ebastina gador	ebastine	23796
ebastina generis	ebastine	23796
ebastina kern pharma	ebastine	23796
ebastina mylan	ebastine	23796
ebastina mylan pharma	ebastine	23796
ebastina normon	ebastine	23796
ebastina qualigen	ebastine	23796
ebastina quasset industria química y farmacéutica	ebastine	23796
ebastina ratiopharm	ebastine	23796
ebastina sandoz	ebastine	23796
ebastina stada	ebastine	23796
ebastina tarbis	ebastine	23796
ebastina tecnigen	ebastine	23796
ebastina teva	ebastine	23796
ebastina tevagen	ebastine	23796
ebastina vir	ebastine	23796
ebastina vitória	ebastine	23796
ebastine arrow	ebastine	23796
ebastine arrow lab	ebastine	23796
ebastine biogaran	ebastine	23796
ebastine cristers	ebastine	23796
ebastine eg	ebastine	23796
ebastine filmtabletten teva	ebastine	23796
ebastine generics	ebastine	23796
ebastine medipha	ebastine	23796
ebastine mylan	ebastine	23796
ebastine sandoz	ebastine	23796
ebastine smelt aurobindo	ebastine	23796
ebastine smelt teva	ebastine	23796
ebastine teva	ebastine	23796
ebastine zentiva	ebastine	23796
ebastine zydus	ebastine	23796
ebateva	ebastine	23796
ebefen	tamoxifen	10324
ebelya	ethinylestradiol, levonorgestrel	214558
ebenol	hydrocortisone	5492
ebenol hca zur anwendung bei erwachsenen und kindern ab dem vollendeten 6. lebensjahr	hydrocortisone acetate	27197
ebeoxal	oxaliplatin	32592
ebeposid	etoposide	4179
eberelbin	vinorelbine tartrate	114527
ebersept	ketoconazole	6135
ebetaxel	paclitaxel	56946
ebetrex	methotrexate	6851
ebetrexat	methotrexate	6851
ebexantron	mitoxantrone	7005
ebilfumin	oseltamivir	260101
ebimem	memantine hydrochloride	236685
ebivol	nebivolol hydrochloride	236883
ebixa	memantine hydrochloride	236685
ebrantil	urapidil	39230
ebrantil	urapidil hydrochloride	39230
ebrantil i.v.	urapidil	39230
ebrantil i.v.	urapidil hydrochloride	39230
ebrantil i.v. 50	urapidil hydrochloride	39230
ebrantil retard	urapidil	39230
ebrantil retard 30 mg	urapidil	39230
ebrantil retard 60 mg	urapidil	39230
ebrit	irbesartan	83818
ebrit hct	hydrochlorothiazide, irbesartan	214617
ebymect	metformin hydrochloride, dapagliflozin	1486436
ec készlet radioaktív gyógyszerkészítményhez	technetium (99mtc) pertechnetate, n,n'-ethylene-(l,l)-dicysteine	1489762
ecalta	anidulafungin	341018
ecamais	hydrochlorothiazide, lisinopril	214618
ecansya	capecitabine	194000
ecapril	lisinopril	29046
ecasolv	heparin calcium	20044
echinacea cold and flu holland & barrett	echinacea purpurea root	259513
echinacea cold and flu nature's bounty	echinacea purpurea root	259513
echinacea holland & barrett	echinacea purpurea root	259513
echinacea vitabiotics	echinacea purpurea root	259513
echinacea/viscum comp., gelatum	argentum metallicum dil. d10, cuprum aceticum dil. d6 aquos. (hab, vs. 5b), cutis feti bovis gl dil. d4 (hab, vs. 41b), funiculus umbilicalis bovis gl dil. d4 (hab, vs. 41b), terebinthina laricina, viscum album (mali) e planta tota ferm 34i dil. d2 (hab, vs. 34i), placenta bovis gl dil. d4 (hab, vs. 41b), rosemary oil, calendula officinalis e floribus la 20% (hab, vs. 12c), echinacea pallida ex herba la 20% (hab, vs. 12c)	90945
echinasor	echinacea angustifolia	236121
eclipse	ramipril	35296
ecloram	citalopram hydrobromide	221078
eco medical haut-/händedesinfektion	isopropyl alcohol	797541
ecobec	beclometasone dipropionate	1348
ecobec easi-breathe	beclometasone dipropionate	1348
ecocain	epinephrine bitartrate, lidocaine hydrochloride	107602
ecocain	lidocaine hydrochloride	142440
ecodergin	econazole nitrate	142434
ecomer	shark-liver oil	91472
ecomesol	econazole nitrate	142434
ecomì	econazole nitrate	142434
econac	diclofenac sodium	203214
econac sr	diclofenac sodium	203214
econac xl	diclofenac sodium	203214
econazole arrow	econazole nitrate	142434
econazole biogaran	econazole nitrate	142434
econazole eg	econazole nitrate	142434
econazole l.p arrow	econazole nitrate	142434
econazole l.p. biogaran	econazole nitrate	142434
econazole l.p. eg	econazole nitrate	142434
econazole l.p. ranbaxy	econazole nitrate	142434
econazole lp cristers	econazole nitrate	142434
econazole lp zentiva	econazole nitrate	142434
econazole lp zydus	econazole nitrate	142434
econazole mylan	econazole nitrate	142434
econazole mylan l.p.	econazole nitrate	142434
econazole ratiopharm	econazole nitrate	142434
econazole rpg	econazole nitrate	142434
econazole sandoz	econazole nitrate	142434
econazole sandoz l.p. sandoz	econazole nitrate	142434
econazole teva	econazole	3743
econazole teva sante	econazole nitrate	142434
econazole teva santé	econazole nitrate	142434
econazolo sandoz	econazole nitrate	142434
economycin	tetracycline	10395
ecorex	econazole nitrate	142434
ecosal easi-breathe	salbutamol sulfate	142153
ecosal inhaler	salbutamol	435
ecosteril	econazole nitrate	142434
ecotam	econazole nitrate	142434
ecoval	betamethasone valerate	227897
ecovitamine b12	cyanocobalamin	11248
ecoxyton	etoricoxib	307296
ecriten	sildenafil	136411
ectodine	povidone, iodinated	8611
ectren	quinapril hydrochloride	235759
ecubalin	pregabalin	187832
ecuhead	rizatriptan benzoate	237082
ecumens	piracetam	8351
ecuril	silymarin	9794
ecytara	escitalopram	321988
ecytara	escitalopram oxalate	353108
eczederma	clobetasone butyrate	21246
eczmol	chlorhexidine gluconate	20791
eczoria	clobetasol propionate	21245
edamox	amoxicillin	723
edarbi	azilsartan medoxomil	1091642
edason	clindamycin	2582
edason	clindamycin phosphate	797272
edecol	brimonidine tartrate	39171
edelan	mometasone furoate	30145
edelsine	ethinylestradiol, norgestimate	214559
edemid	furosemide	4603
edemid forte	furosemide	4603
edemox	acetazolamide	167
edencare erkältung	pelargonium sidoides root	1310166
edentussin	hedera helix	1309795
edesia	ethinylestradiol, gestodene	608868
edevexin	escin	4065
edevira	entecavir	306266
edex	alprostadil	598
edicil mr	gliclazide	4816
edicin	vancomycin	11124
edicin	vancomycin hydrochloride	66955
edicot	hydrocortisone	5492
edipren	naloxone hydrochloride, oxycodone hydrochloride	1545902
edistride	dapagliflozin	1488564
edluar	zolpidem tartrate	221183
edmudo	fluprednidene acetate, miconazole nitrate	483593
ednyt	enalapril maleate	203123
ednyt hct	enalapril maleate, hydrochlorothiazide	214536
edo	carbomer	235535
edolfene	flurbiprofen sodium	91351
edolglau	clonidine hydrochloride	142432
edolox	etoricoxib	307296
edoxel	docetaxel	72962
edronax	reboxetine	60842
eductyl adultes	potassium hydrogen tartrate, sodium hydrogen carbonate	36676
eductyl enfants	potassium hydrogen tartrate, sodium hydrogen carbonate	36676
edufil	formoterol fumarate	236216
edunix	hydromorphone hydrochloride	203177
edurant	rilpivirine	1102270
eeze	diclofenac sodium	203214
eeze spray gel	diclofenac sodium	203214
eezeneo	diclofenac potassium	81997
efacti	ivermectin	6069
efadermin	lithium succinate, zinc sulphate heptahydrate	28817
efalith lipocrème	lithium succinate, zinc sulphate	644580
efastad	venlafaxine	39786
efastad	venlafaxine hydrochloride	235988
efatriten	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efatriten eurogenerics	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavemten	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz + emtricitabina + tenofovir generis	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz + emtricitabina + tenofovir teva	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz accord	efavirenz	195085
efavirenz alpha-medical	efavirenz	195085
efavirenz arrow	efavirenz	195085
efavirenz aurobindo	efavirenz	195085
efavirenz aurovitas	efavirenz	195085
efavirenz cristers	efavirenz	195085
efavirenz dr. reddy's	efavirenz	195085
efavirenz farmoz	efavirenz	195085
efavirenz generics [uk]	efavirenz	195085
efavirenz hexal	efavirenz	195085
efavirenz medical valley	efavirenz	195085
efavirenz medicopharm	efavirenz	195085
efavirenz mylan	efavirenz	195085
efavirenz rowex	efavirenz	195085
efavirenz sandoz	efavirenz	195085
efavirenz teva	efavirenz	195085
efavirenz, emtricitabina e tenofovir disoproxil aurobindo	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz, emtricitabina e tenofovir disoproxil eg	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz, emtricitabina e tenofovir disoproxil teva	emtricitabine, efavirenz, tenofovir disoproxil phosphate	1007761
efavirenz/ emtricitabine/ tenofovir disoproxil teva	emtricitabine, efavirenz, tenofovir disoproxil phosphate	1007761
efavirenz/ emtricitabine/ tenofovirdisoproxil aurobindo	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabin/tenofovirdisoproxil al	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabin/tenofovirdisoproxil beta	emtricitabine, efavirenz, tenofovir disoproxil succinate	1007761
efavirenz/emtricitabin/tenofovirdisoproxil macleods	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabin/tenofovirdisoproxil ratiopharm	emtricitabine, efavirenz, tenofovir disoproxil phosphate	1007761
efavirenz/emtricitabina/tenofovir disoproxilo aurovitas	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabina/tenofovir disoproxilo dr. reddys	emtricitabine, efavirenz, tenofovir disoproxil succinate	1007761
efavirenz/emtricitabina/tenofovir disoproxilo glenmark	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabina/tenofovir disoproxilo macleods	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabina/tenofovir disoproxilo sandoz	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabina/tenofovir disoproxilo teva	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir clisoproxil glenmark	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil accord	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil arrow	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil aurovitas	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil biogaran	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil clonmel	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil dr. reddy's	emtricitabine, efavirenz, tenofovir disoproxil succinate	1007761
efavirenz/emtricitabine/tenofovir disoproxil eg	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil glenmark	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil krka	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil mylan	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil mylan 600 mg/200 mg/245 mg film-coated tablets mylan	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil sandoz	emtricitabine, efavirenz, tenofovir disoproxil succinate	1007761
efavirenz/emtricitabine/tenofovir disoproxil sandoz ltd	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil teva	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovir disoproxil teva	emtricitabine, efavirenz, tenofovir disoproxil phosphate	1007761
efavirenz/emtricitabine/tenofovir disoproxil zentiva	emtricitabine, efavirenz, tenofovir disoproxil phosphate	1007761
efavirenz/emtricitabine/tenofovirdisoproxil cf	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovirdisoproxil ratiopharm	emtricitabine, efavirenz, tenofovir disoproxil phosphate	1007761
efavirenz/emtricitabine/tenofovirdisoproxil sandoz	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efavirenz/emtricitabine/tenofovirdisoproxil teva	emtricitabine, efavirenz, tenofovir disoproxil	1007761
efaxine	venlafaxine	39786
efcortesol	hydrocortisone sodium phosphate	235482
efdege	fludeoxyglucose (18f)	1362737
efdegé	fludeoxyglucose (18f)	1362737
efectin ep	venlafaxine hydrochloride	235988
efectin er	venlafaxine hydrochloride	235988
efedrin	ephedrine	3966
efedrin mylan	ephedrine hydrochloride	91165
efedrin sad	ephedrine hydrochloride	91165
efedrin takeda as	ephedrine hydrochloride	91165
efedrin unimedic	ephedrine hydrochloride	91165
efedrina	ephedrine hydrochloride	91165
efedrina aguettant	ephedrine hydrochloride	91165
efedrina aguettant 3 mg/ml	ephedrine hydrochloride	91165
efedrina arena	ephedrine hydrochloride	91165
efedrina cloridrato	ephedrine hydrochloride	91165
efedrina cloridrato monico	ephedrine hydrochloride	91165
efedrina cloridrato s.a.l.f.	ephedrine hydrochloride	91165
efedrina labesfal	ephedrine sulfate	91166
efedrine hcl aguettant	ephedrine hydrochloride	91165
efedrine hcl teva	ephedrine hydrochloride	91165
efedrină zentiva	ephedrine hydrochloride	91165
efensol	colestyramine	2447
eferox	anhydrous levothyroxine sodium	1372638
eferox	levothyroxine sodium	40144
eferox 175	levothyroxine sodium	40144
eferox 200	levothyroxine sodium	40144
efestad	desloratadine	275635
efetamol comprimidos	paracetamol	161
efetamol solución	paracetamol	161
efeu 1 a pharma	hedera helix	1309795
efevelon sr	venlafaxine	39786
efevelon sr	venlafaxine hydrochloride	235988
efexor	venlafaxine hydrochloride	235988
efexor depot	venlafaxine hydrochloride	235988
efexor xl	venlafaxine hydrochloride	235988
efexor xr	venlafaxine hydrochloride	235988
efexor-exel	venlafaxine hydrochloride	235988
effala	5-aminolevulinic acid	683
effederm	tretinoin	10753
effekton	ketoprofen	6142
effentora	fentanyl	4337
effentora	fentanyl citrate	142436
efferaldol flas	paracetamol	161
efferalgan	paracetamol	161
efferalgan adulti	paracetamol	161
efferalgan bambini	paracetamol	161
efferalgan codeine	paracetamol, codeine phosphate hemihydrate	161
efferalgan forte	paracetamol	161
efferalgan lattanti	paracetamol	161
efferalgan lietošanai bērniem	paracetamol	161
efferalgan odis	paracetamol	161
efferalgan pediátrico	paracetamol	161
efferalgan pentru copii	paracetamol	161
efferalgan prima infanzia	paracetamol	161
efferalgan vaikams	paracetamol	161
efferalganmed	paracetamol	161
efferalganmed pediatrique	paracetamol	161
efferamol	paracetamol	161
effexor l.p.	venlafaxine hydrochloride	235988
effezel	adapalene, benzoyl peroxide	859393
efficib	metformin hydrochloride, sitagliptin	729717
efficort hydrophile	hydrocortisone aceponate	41277
efficort lipophile	hydrocortisone aceponate	41277
effilevo	ethinylestradiol, levonorgestrel	214558
effiplen	ethinylestradiol, gestodene	608868
effizinc	zinc gluconate	58300
effluimdex	fluorometholone	4491
efflumidex liquifilm	fluorometholone	4491
efflurak	fluorouracil	4492
effortil	etilefrine hydrochloride	235960
effortil ampullen	etilefrine hydrochloride	235960
effortil tropfen	etilefrine hydrochloride	235960
effox	isosorbide mononitrate	28004
effox long	isosorbide mononitrate	28004
eficef	cefixime	25033
efient	prasugrel	613391
efigalo	fingolimod	1012892
efisen m	ibuprofen	5640
efloran	metronidazole	6922
efortil	etilefrine hydrochloride	235960
efox	cefuroxime	2194
efracea	doxycycline	3640
efracea	doxycycline monohydrate	203122
efridol	nimesulide	53694
efrinol	ephedrine hydrochloride	91165
efriviral	aciclovir	281
efrivirallabiale	aciclovir	281
efrozin	omeprazole	7646
efrozin 40 mg	omeprazole	7646
efudix	fluorouracil	4492
egaten	triclabendazole	2118525
egazil	hyoscyamine sulfate	1225
egerian	gentamicin, betamethasone	1870197
egery	erythromycin	4053
egianti	levonorgestrel	6373
egilok	metoprolol succinate	221124
egilok	metoprolol tartrate	203191
egilok xl	metoprolol tartrate	203191
egiramlon	amlodipine besilate	104416
egistrozol	anastrozole	84857
egitim	ezetimibe	341248
egitinid	imatinib mesilate	284924
egitromb	clopidogrel hydrogen sulfate	236991
eglonyl	sulpiride	10239
eglonyl forte	sulpiride	10239
eglymad	glimepiride	25789
egogyn	ethinylestradiol, levonorgestrel	214558
egostar	colecalciferol	2418
egzysta	pregabalin	187832
eibischblätter, eibischwurzel, süßholzwurzel, anis hals- und rachen-beruhigungstee zur anwendung bei erwachsenen und jugendlichen ab 12 jahren sidroga	marshmallow leaf, marshmallow root, pimpinella anisum, liquorice root	1426421
eibischwurzel bombastus-werke	althaea officinalis root	1306165
eicodol	icosapent ethyl, docosahexaenoic acid ethyl ester	1304974
eicosan	fish oil, rich in omega-3-acids	4419
eicosapen	fish oil, rich in omega-3-acids	4419
eifilīns	aminophylline	689
einsalpha	alfacalcidol	12062
eirfem	letrozole	72965
eisen sucrose baxter	iron sucrose	24909
eisensulfat	dried ferrous sulfate	259346
eisentabletten	dried ferrous sulfate	259346
ekara	moxifloxacin hydrochloride	228750
ekarzin	betamethasone	1514
ekistol	cilostazol	21107
eklira genuair	aclidinium bromide	1303097
eklivan	somatostatin	9939
eko	dexamethasone phosphate	235486
ekran	folic acid	4511
eksemestan jgl	exemestane	258494
ekvacillin	cloxacillin sodium	9864
ekzem	fluocinolone acetonide	4461
ekzemsalbe „f“	hydrocortisone acetate	27197
elacutan	urea	11002
elan	isosorbide mononitrate	28004
elanix	ezetimibe	341248
elantan	isosorbide mononitrate	28004
elantan la	isosorbide mononitrate	28004
elantan long	isosorbide mononitrate	28004
elaprase	idursulfase	644101
elashine	medroxyprogesterone acetate	1000112
elatofen	oxaliplatin	32592
elatrex	naloxone hydrochloride, oxycodone hydrochloride	1545902
elavil	amitriptyline hydrochloride	203168
elazor	fluconazole	4450
elcozek	omeprazole	7646
elcrit	clozapine	2626
eldepryl	selegiline hydrochloride	203137
elderin	etodolac	24605
eldicet	pinaverium bromide	54743
eldisin	vindesine sulfate	11205
eldisine	vindesine sulfate	11205
elebloc	carteolol hydrochloride	142132
elebrato ellipta	umeclidinium bromide, fluticasone furoate, vilanterol	1945038
elecor	eplerenone	298869
elecoxel	celecoxib	140587
elektra	enalapril maleate, hydrochlorothiazide	214536
elenium	chlordiazepoxide	2356
eleonor 20	ethinylestradiol, levonorgestrel	214558
eleonor 30	ethinylestradiol, levonorgestrel	214558
eletop	eletriptan	231049
eletriptan	eletriptan	231049
eletriptan arrow generiques	eletriptan	231049
eletriptan aurobindo	eletriptan	231049
eletriptan bgr	eletriptan hydrobromide	360288
eletriptan biogaran	eletriptan hydrobromide	360288
eletriptan bluefish	eletriptan	231049
eletriptan chanelle medical	eletriptan	231049
eletriptan doc generici	eletriptan	231049
eletriptan eg	eletriptan	231049
eletriptan eql pharma	eletriptan	231049
eletriptan laboratorios aurobindo, s.l.u	eletriptan hydrobromide	360288
eletriptan mylan	eletriptan	231049
eletriptan nor	eletriptan hydrobromide	360288
eletriptan orion	eletriptan	231049
eletriptan orion	eletriptan hydrobromide	360288
eletriptan pfizer	eletriptan	231049
eletriptan pfizer	eletriptan hydrobromide	360288
eletriptan teva	eletriptan	231049
eletriptan upjohn hellas	eletriptan	231049
eletriptan upjohn uk	eletriptan	231049
eletriptan zentiva	eletriptan hydrobromide monohydrate	2198973
eletriptan zydus	eletriptan hydrobromide	360288
eletriptano aurovitas	eletriptan	231049
eletriptano generis	eletriptan	231049
eletriptano pfizer	eletriptan	231049
eletriptán aurovitas	eletriptan	231049
eletriptán bluefish	eletriptan	231049
elettrolitica di reintegrazione con glucosio e sodio gluconato galenica senese	potassium chloride, sodium acetate, sodium chloride, magnesium chloride, sodium gluconate	1008699
elettrolitica di reintegrazione con sodio gluconato baxter	potassium chloride, sodium acetate, sodium chloride, magnesium chloride, sodium gluconate	1008699
elettrolitica di reintegrazione con sodio gluconato galenica senese	potassium chloride, sodium acetate, sodium chloride, magnesium chloride, sodium gluconate	1008699
elettrolitica di reintegrazione con sodio gluconato monico	potassium chloride, sodium acetate, sodium chloride, magnesium chloride, sodium gluconate	1008699
elettrolitica di reintegrazione ph 7,4 con sodio gluconato	potassium chloride, sodium acetate, sodium chloride, magnesium chloride, sodium gluconate	1008699
eleveon	eplerenone	298869
elevin	ethinylestradiol, levonorgestrel	214558
elfasette	desogestrel	22656
elfimest	esomeprazole	283742
elgadil	urapidil hydrochloride	39230
elibactin	omeprazole	7646
eliben	clarithromycin	21212
elicea	escitalopram	321988
elicea	escitalopram oxalate	353108
elicea oro tab	escitalopram	321988
elicea q-tab	escitalopram	321988
elidel	pimecrolimus	321952
elify	venlafaxine	39786
elify ep	venlafaxine	39786
elify xr	venlafaxine	39786
eligard	leuprorelin acetate	203217
eligard depot	leuprorelin acetate	203217
eligard mensual	leuprorelin acetate	203217
eligard semestral	leuprorelin acetate	203217
eligard trimestral	leuprorelin acetate	203217
elimens	orlistat	37925
elin	ethinylestradiol, norgestimate	214559
elinap	nimesulide	53694
elinix	lactobacillus acidophilus, bifidobacterium animalis subsp. lactis	6205
eliosid	flunisolide	25120
elipa	ketorolac trometamol	28200
elipsia	fenofibrate	8703
eliquis	apixaban	1364430
eliskardia	prasugrel	613391
elissan	loperamide	6468
elistrel	levonorgestrel	6373
elisya	ethinylestradiol, levonorgestrel	214558
elitan	metoclopramide hydrochloride	267036
elitasone	mometasone furoate	30145
eliten	fosinopril sodium	227278
elityran	leuprorelin acetate	203217
elixifilin	theophylline anhydrous	91178
elixir pure classic	dickextrakt aus potenzholz (100-250:1) auszugsmittel: ethanol 70% (v/v), caffeine	1886
elixirium thymi compositum fono vii	citrus sinensis (603), sodium bromide, thyme tincture	1311138
elixirium thymi compositum fono vii.	orange tincture, sodium bromide, thyme tincture	1311138
eliza	drospirenone, ethinylestradiol | ethinylestradiol	4124
elkomed	omeprazole	7646
elkomix	potassium chloride ph. eur., sodium glycerophosphate, magnesium chloride hexahydrate ph. eur., calcium chloride dihydrate ph. eur., sodium acetate ph. eur., zinc sulfate heptahydrate ph. eur.	1595589
elkostop	omeprazole	7646
elkotheran	omeprazole	7646
ell-cranell	alfatradiol	1926478
ellanite	drospirenone, ethinylestradiol	840781
ellaone	ulipristal acetate	1005920
elleste duet	estradiol | norethisterone acetate, estradiol	4083
elleste solo	estradiol hemihydrate	236859
elleste solo mx	estradiol hemihydrate	236859
ellisek-s	butamirate citrate	382677
ellyfol	folic acid	4511
elmetacin	indometacin	5781
elmetacin spray	indometacin	5781
elmex	dectaflur, olaflur, sodium fluoride	9873
elmex gelée	dectaflur, olaflur, sodium fluoride	9873
elmex medical cariësprotectiegel	dectaflur, olaflur, sodium fluoride	9873
elmex medical gel	dectaflur, olaflur, sodium fluoride	9873
elmigrain	eletriptan	231049
elmiron	pentosan polysulfate sodium	134413
elobact	cefuroxime	2194
elobact trockensaft	cefuroxime	2194
elocom	mometasone furoate	30145
elocon	mometasone furoate	30145
elocon vet	mometasone furoate	30145
elocta	efmoroctocog alfa	1543095
elofen	fenspiride hydrochloride	236281
eloine	drospirenone, ethinylestradiol | lactose monohydrate	1305527
elontril	bupropion hydrochloride	203204
elopram	citalopram hydrobromide	221078
eloprine	inosine pranobex	6048
eloprine forte	inosine pranobex	6048
eloquine	mefloquine	6694
elorgan	pentoxifylline	8013
elosalic	mometasone furoate, salicylic acid	1007669
elosone	mometasone furoate	30145
eloxatin	oxaliplatin	32592
eloxatine	oxaliplatin	32592
elozell „spezial“	potassium chloride, potassiumhydrogen-dl-aspartate hemihydrate, magnesiumbis(hydrogen-dl-aspartate) tetrahydrate	8591
elozora	letrozole	72965
elperil	ulipristal acetate	1005920
elreptic	eplerenone	298869
elsep	mitoxantrone hydrochloride	203129
elstabya	febuxostat	73689
eltacrin	ebastine	23796
eltair	budesonide	19831
eltairneb	budesonide	19831
eltroxin	anhydrous levothyroxine sodium	1372638
eltroxin	levothyroxine sodium	40144
eluden	rivastigmine	183379
eludril	chlorhexidine digluconate solution, chlorobutanol hemihydrate	1309399
eludril	chlorhexidine gluconate	20791
eludril	chlorhexidine gluconate, tetracaine hydrochloride	645080
eludrilpro	chlorhexidine digluconate solution, chlorobutanol hemihydrate	1309399
elugan n	simeticone	9796
elunkast	montelukast	88249
elusanes	arctostaphylos uva-ursi leaf	1306212
elusanes	extract of equisetum arvense	1307596
elusanes	passiflora incarnata extract	253193
elusanes natudor	hawthorn, dry extract, passiflora extract	155097
elutatis	vardenafil	306674
elvanse	lisdexamfetamine dimesylate	673579
elvanse adult	lisdexamfetamine dimesylate	673579
elvanse adultos	lisdexamfetamine dimesylate	673579
elvanse erwachsene	lisdexamfetamine dimesylate	673579
elvanse vuxen	lisdexamfetamine dimesylate	673579
elven	betahistine dihydrochloride	81964
elvesil	diltiazem hydrochloride	203211
elvina	drospirenone, ethinylestradiol	840781
elvinette	drospirenone, ethinylestradiol	840781
elvorine	levoleucovorin	877015
elxeda	aripiprazole	89013
elzonris	tagraxofusp	2109055
em pharma allergy & hayfever relief	cetirizine dihydrochloride	203150
em pharma allergy relief	cetirizine dihydrochloride	203150
em pharma diarrhoea relief	loperamide hydrochloride	82038
em pharma hayfever	cetirizine dihydrochloride	203150
em pharma once-a-day hayfever & allergy	loratadine	28889
emadine	emedastine	28144
emagel	polygeline	8521
emanera	esomeprazole	283742
emarfen	alfacalcidol	12062
emazole	esomeprazole	283742
emazole control	esomeprazole	283742
emb-fatol	ethambutol hydrochloride	142435
embesin	argipressin	1098
embesyn	argipressin	1098
emconcor	bisoprolol fumarate	142146
emconcor chf	bisoprolol fumarate	142146
emconcor cor	bisoprolol fumarate	142146
emconcor minor	bisoprolol fumarate	142146
emconcor mitis	bisoprolol fumarate	142146
emcor	bisoprolol fumarate	142146
emcordeco	bisoprolol fumarate	142146
emedal	metronidazole	6922
emegar	granisetron	26237
emend	aprepitant	358255
emerade	epinephrine	3992
emergana	levonorgestrel	6373
emergency contraceptive	levonorgestrel	6373
emerpand	rivastigmine	183379
emerres	levonorgestrel	6373
emerres una	levonorgestrel	6373
emesan e erwachsenenzäpfchen,	diphenhydramine hydrochloride	1362
emesan k kinderzäpfchen,	diphenhydramine hydrochloride	1362
